text,label,template_id
Aayush from Ekart is arriving with your package. Contact: 03319345417,Delivery,Delivery_6
Flat Rs.658 cashback on your next order at Myntra. Use code SAVE76. Valid till 04 Jul.,Promo,Promo_2
Delivery attempt failed for order OD5068107506. We will retry tomorrow. -DTDC,Delivery,Delivery_5
your one time password is 96593 for kotak. please do not share it.,OTP,OTP_5
UPI payment of Rs.80480 to Anusha successful. UPI Ref: 366522745481. -HDFC Bank,Bank,Bank_6
order od7569115610 packed and ready! expected dispatch by 05 jul. -amazon,Delivery,Delivery_8
Exclusive for you! Buy 1 Get 1 FREE at Swiggy. Limited period offer. Visit bit.ly/iRxOIl,Promo,Promo_3
984467 is your OTP for Amazon login. Valid for 15 minutes. Do not share with anyone.,OTP,OTP_0
Your Flipkart membership expires soon. Renew now & save 10%: bit.ly/yCrlDZ,Promo,Promo_9
rs.80549 credited to a/c xx1760 on 17-05-26. avl bal: rs.21388. -bob,Bank,Bank_1
<#> 768967 is your hotstar code. valid 30 min. ha8sk2lqp3,OTP,OTP_13
"Never share your OTP, PIN or CVV. BOB never asks for these. Stay safe. STOP to opt out",Bank,Hard_3
Ur order OD6127695874 from Swiggy is arriving tomorrow. Keep Rs.3799 ready for COD.,Delivery,Delivery_3
YOUR RETURN PICKUP FOR ORDER OD8607904419 IS SCHEDULED ON 02 JUL. KEEP THE ITEM READY. -AMAZON,Delivery,Delivery_7
Your BigBasket code: 197738,OTP,OTP_8
705079 is your OTP for SBI login. Valid for 5 minutes. Do not share with anyone.,OTP,OTP_0
  Your A/c XX1041 is debited with Rs.54856 on 27-06-26. Info: UPI-Thomas. Bal: Rs.203683,Bank,Bank_2
ALERT: Rs.79617 withdrawn from ATM using card XX8850 on 15-05-26. Bal: Rs.456212. -ICICI Bank,Bank,Bank_3
  Enter 209972 to verify your mobile number for Meesho.,OTP,OTP_10
Your Meesho membership expires soon. Renew now & save 80%: bit.ly/UHWAlx,Promo,Promo_9
Recharge  with Rs.1790 & get 10% extra talktime. Offer valid today only!,Promo,Promo_5
Delhivery: Shipment OD2671225054 reached your city hub Expected delivery: 01 Jul,Delivery,Delivery_4
LOW BALANCE ALERT: A/C XX7837 BALANCE IS RS.85874. MAINTAIN MIN BALANCE TO AVOID CHARGES.,Bank,Bank_10
"Bro send me Rs.551 on gpay, will return by 02 Jul",Personal,Hard_5
OTP: 64256 FOR TXN OF RS.48880 AT NETFLIX. DO NOT SHARE. -SBI,OTP,OTP_2
  Zomato: 460691 is your login OTP. It expires in 30 minutes.,OTP,OTP_6
438886 is your Myntra security code. Anyone asking for it is a scammer.,OTP,OTP_9
Low  balance alert: A/c XX7025 balance is Rs.310324. Maintain min balance to avoid charges.,Bank,Bank_10
  Enter 527088 to verify your mobile number for Uber.,OTP,OTP_10
Out for delivery: Your Amazon package OD1025790059 will arrive today by 3 PM. -DTDC,Delivery,Delivery_1
cheque no. 902737713799 for rs.30313 has been cleared from a/c xx5583. -hdfc bank,Bank,Bank_8
Last day! Meesho clearance sale ends tonight. Up to 60% off sitewide. STOP to opt out,Promo,Promo_8
mega sale! get 60% off on all products at amazon. shop now: bit.ly/kmsigt t&c apply.,Promo,Promo_0
MEGA SALE! Get 60% OFF on all products at Zomato. Shop now: bit.ly/QadNYO T&C apply.,Promo,Promo_0
Your OTP is 870722. Use it to verify your Flipkart account. Expires in 2 min.,OTP,OTP_1
Out for delivery: Your Meesho package OD1952295406 will arrive today by 9 PM -DTDC,Delivery,Delivery_1
EMI of Rs.73833 due on 15-03-26 for loan A/c XX1873. Pay now to avoid charges. -PNB,Bank,Bank_4
USE 928931 TO COMPLETE YOUR MEESHO REGISTRATION. VALID TILL 15 MINS.,OTP,OTP_4
  581808 - use this code to sign in to Amazon. Never share it with anyone.,OTP,OTP_7
TAP TO VERIFY: 661136. THIS CODE EXPIRES SHORTLY.,OTP,Hard_9
OTP: 466090 for txn of Rs.34620 at Zomato Do not share -Kotak,OTP,OTP_2
"Hey, my new number is 2287915470. Save it! Meet at 8?",Personal,Hard_4
Ur return pickup for order OD1286506650 is scheduled on 01 Jul. Keep the item ready. -Meesho,Delivery,Delivery_7
Low balance alert: A/c XX4809 balance is Rs.478600. Maintain min balance to avoid charges. T&C apply,Bank,Bank_10
Rs.88009 credited to A/c XX5688 on 03-01-26. Avl Bal: Rs.452070. -Axis Bank,Bank,Bank_1
774776 - use this code to sign in to Zomato Never share it with anyone,OTP,OTP_7
UPI payment of INR 42830 to Farhan successful. UPI Ref: 858483402574. -HDFC Bank,Bank,Bank_6
out for delivery: your myntra package od3787195883 will arrive today by 3 pm. -ekart,Delivery,Delivery_1
"Hi Jairaj, unlock Rs.1374 off your first order at Flipkart with code NEW41.",Promo,Promo_7
<#> 850914 is ur Amazon code. Valid 2 min. hA8sk2Lqp3,OTP,OTP_13
Rs.782 debited from A/c XX5625 on 17-05-26 to Omaja. Avl Bal: Rs.399324. -BOB,Bank,Bank_0
RS.3943 DEBITED FROM A/C XX9747 ON 16-03-26 TO ADVAY. AVL BAL: RS.395281. -KOTAK,Bank,Bank_0
use 99518 to complete your pnb registration. valid till 10 mins.,OTP,OTP_4
Cheque no. 138160195687 for Rs.52303 has been cleared from A/c XX8333. -HDFC Bank,Bank,Bank_8
Exclusive for you! Buy 1 Get 1 FREE at Meesho. Limited period offer. Visit bit.ly/axZUxk,Promo,Promo_3
Ur credit card XX2170 statement is ready. Total due: Rs.50934. Min due: Rs.3780. -HDFC Bank,Bank,Bank_5
"Bro send me INR 940 on gpay, will return by 01 Jul",Personal,Hard_5
Delivered! Your Swiggy order OD3185332092 was delivered on 03 Jul. Rate your experience: bit.ly/oJwcQw,Delivery,Delivery_2
  Use code 4234 at checkout for 50% off at Flipkart!,Promo,Hard_0
367623 is your pnb security code. anyone asking for it is a scammer.,OTP,OTP_9
Yagnesh from Ekart is arriving with your package. Contact: 07014099531,Delivery,Delivery_6
Your order OD8217249493 from Meesho is arriving tomorrow. Keep Rs.2497 ready for COD.,Delivery,Delivery_3
Your one time password is 198812 for Swiggy. Please do not share it.,OTP,OTP_5
Recharge with INR 1090 & get 80% extra talktime. Offer valid today only!,Promo,Promo_5
Low balance alert: A/c XX2350 balance is Rs.99197 Maintain min balance to avoid charges,Bank,Bank_10
  426814 is your BOB security code. Anyone asking for it is a scammer.,OTP,OTP_9
Ur Amazon code: 243395,OTP,OTP_8
  ALERT: Rs.1586 withdrawn from ATM using card XX4194 on 20-01-26. Bal: Rs.146722. -Axis Bank,Bank,Bank_3
INR 58316 debited from A/c XX3888 on 21-01-26 to Dominic. Avl Bal: INR 211456. -PNB,Bank,Bank_0
