text,label,template_id
Dear customer ur PNB account will be blocked! Update KYC now: bit.ly/EMixsU,Spam,Hard_11
"Bro send me Rs.1039 on gpay, will return by 06 Jul",Personal,Hard_5
Your Jio pack expires tomorrow. Recharge with Rs.796 for 3GB/day + unlimited calls. -TM,Promo,Promo_10
Your SBI debit card XX6217 has been blocked due to suspicious activity. Visit branch or call 1800-XXX to unblock.,Bank,Bank_11
Flight fares dropped! BLR-CCU from Rs.1256. Book on ixigo before midnight.,Promo,Promo_16
Your SIM will be deactivated in 24hrs. Verify Aadhaar: bit.ly/kZwuAI,Spam,Hard_13
Missed  our shows? Come back to SonyLIV at 50% off for 3 months. Resubscribe: bit.ly/nTlZJv,Promo,Promo_19
Weekend special at Zomato! Min 20% off on everything Don't miss out: bitly/BpgTsg,Promo,Promo_6
174639 is your Swiggy security code Anyone asking for it is a scammer,OTP,OTP_9
YOUR RETURN PICKUP FOR ORDER OD7239882517 IS SCHEDULED ON 01 JUL. KEEP THE ITEM READY. -AMAZON,Delivery,Delivery_7
OTP: 167975 for txn of Rs.13091 at IRCTC. Do not share. -Kotak,OTP,OTP_2
ALERT: Rs.39279 withdrawn from ATM using card XX4457 on 11-06-26. Bal: Rs.163533. -Axis Bank,Bank,Bank_3
  EMI of Rs.37849 due on 05-03-26 for loan A/c XX3693. Pay now to avoid charges. -PNB,Bank,Bank_4
  981145 is your OTP for Hotstar login. Valid for 15 minutes. Do not share with anyone.,OTP,OTP_0
Recharge  with Rs.825 & get 10% extra talktime. Offer valid today only!,Promo,Promo_5
KYC UPDATE PENDING FOR A/C XX7690. PLEASE VISIT YOUR NEAREST KOTAK BRANCH BY 12-01-26 TO AVOID RESTRICTIONS.,Bank,Bank_12
ITEMS IN YOUR ORDER HISTORY ARE BACK IN STOCK AT MEESHO. PRICES START RS.1455.,Promo,Promo_23
Coupon 3000 gives you free delivery on orders above Rs.3927. -Swiggy,Promo,Hard_1
Your credit card XX8607 statement is ready. Total due: Rs.81509. Min due: Rs.3343. -BOB,Bank,Bank_5
EMI of Rs.41898 due on 09-03-26 for loan A/c XX2434. Pay now to avoid charges. -Axis Bank,Bank,Bank_4
OTP for delivery of order OD4406266547 is 2691. Share only with the delivery agent. -Delhivery -TM,Delivery,Delivery_9
Your A/c XX4223 is debited with Rs.25019 on 16-05-26. Info: UPI-Wridesh. Bal: Rs.120020,Bank,Bank_2
Your A/c XX1617 is debited with Rs.30512 on 06-02-26. Info: UPI-Adweta. Bal: Rs.98262,Bank,Bank_2
IRCTC:  Special trains added for festive season. Book early & save up to 10%.,Promo,Promo_17
Last day! Amazon clearance sale ends tonight. Up to 60% off sitewide.,Promo,Promo_8
"Bro send me Rs.4203 on gpay, will return by 01 Jul",Personal,Hard_5
Confirmation code 231916 for Meesho Keep it private,OTP,OTP_11
Coupon 4254 gives you free delivery on orders above Rs.271. -Swiggy,Promo,Hard_1
COUPON 3673 GIVES YOU FREE DELIVERY ON ORDERS ABOVE RS.1136. -SWIGGY,Promo,Hard_1
Rs.60301 debited from A/c XX2742 on 12-03-26 to Fiyaz. Avl Bal: Rs.427495. -Kotak -TM,Bank,Bank_0
Enter 646188 to verify ur mobile number for Flipkart.,OTP,OTP_10
  Your PNB debit card XX8764 has been blocked due to suspicious activity. Visit branch or call 1800-XXX to unblock.,Bank,Bank_11
691052 - use this code to sign in to PNB. Never share it with anyone.,OTP,OTP_7
AUTO-PAY OF RS.43743 TO KALA IS SCHEDULED ON 04-07-26 FROM A/C XX6579. ENSURE SUFFICIENT BALANCE.,Bank,Bank_13
Enter 782694 to verify your mobile number for Kotak.,OTP,OTP_10
Hungry? Get 60% off up to Rs.620 on ur next 3 orders. Code: EAT50. -Zomato,Promo,Promo_12
SALARY OF RS.54049 CREDITED TO A/C XX2874. AVL BAL: RS.283176. -SBI,Bank,Bank_7
MEGA SALE! Get 10% OFF on all products at Swiggy. Shop now: bit.ly/NXSrep T&C apply.,Promo,Promo_0
Order OD6355262138 packed and ready! Expected dispatch by 01 Jul. -Flipkart,Delivery,Delivery_8
Your return pickup for order OD1247697526 is scheduled on 02 Jul. Keep the item ready. -Myntra STOP to opt out,Delivery,Delivery_7
Ur PhonePe code: 121499,OTP,OTP_8
Congratulations! You won Rs.2298171 in lucky draw. Claim: bit.ly/uIyYfV,Spam,Hard_12
order od4168776739 packed and ready! expected dispatch by 03 jul. -meesho,Delivery,Delivery_8
Auto-pay of Rs.37568 to Varenya is scheduled on 05-05-26 from A/c XX2992. Ensure sufficient balance. -TM,Bank,Bank_13
Your FD of Rs.30306 matures on 29-04-26. Renew or withdraw via netbanking. -Kotak,Bank,Bank_14
"Never share your OTP, PIN or CVV BOB never asks for these Stay safe",Bank,Hard_3
OTP for delivery of order OD3547082785 is 4243 Share only with the delivery agent -Ekart,Delivery,Delivery_9
EMI of Rs.6535 due on 01-07-26 for loan A/c XX2283. Pay now to avoid charges. -BOB,Bank,Bank_4
676951  - use this code to sign in to Flipkart. Never share it with anyone.,OTP,OTP_7
"HEY, MY NEW NUMBER IS 9926781373. SAVE IT! MEET AT 8?",Personal,Hard_4
Your  Zomato order OD7701125602 has been shipped via Delhivery. Track: bit.ly/wpAgxG,Delivery,Delivery_0
Data exhausted? Get 3GB extra with Rs.1614 booster pack. Dial *121# or visit app.,Promo,Promo_11
Weekend special at Myntra! Min 50% off on everything. Don't miss out: bit.ly/dodwtj,Promo,Promo_6
EMI of Rs.66036 due on 06-05-26 for loan A/c XX8837 Pay now to avoid charges -HDFC Bank,Bank,Bank_4
Data exhausted? Get 2GB extra with Rs.583 booster pack. Dial *121# or visit app.,Promo,Promo_11
Amazon  Big Billion Days! Up to 50% off + extra 10% with Axis Bank cards. Hurry!,Promo,Promo_1
505661 is your Ola security code. Anyone asking for it is a scammer.,OTP,OTP_9
Pre-approved!  Get a ICICI Bank credit card with Rs.278555 limit. Zero joining fee. Apply: bit.ly/LCVHIH,Promo,Promo_14
"Class shifted to room 3572, come fast",Personal,Hard_6
Your FD of INR 46403 matures on 05-05-26. Renew or withdraw via netbanking. -PNB,Bank,Bank_14
Pre-approved! Get a HDFC Bank credit card with Rs.257941 limit. Zero joining fee. Apply: bit.ly/kibolk,Promo,Promo_14
Your ICICI Bank code: 673610,OTP,OTP_8
Salary of Rs.19477 credited to A/c XX6032. Avl Bal: Rs.429876. -PNB,Bank,Bank_7
Your return pickup for order OD7488192107 is scheduled on 03 Jul. Keep the item ready. -Zomato,Delivery,Delivery_7
Your FD of Rs.53380 matures on 26-05-26. Renew or withdraw via netbanking. -HDFC Bank -TM,Bank,Bank_14
Your  Uber code: 1864,OTP,Hard_8
Your credit card XX5923 statement is ready Total due: Rs.88817 Min due: Rs.2676 -Axis Bank,Bank,Bank_5
INR 75043 debited from A/c XX1954 on 27-04-26 to Chatura. Avl Bal: INR 198575. -ICICI Bank,Bank,Bank_0
your otp is 918440. use it to verify your bigbasket account. expires in 15 min.,OTP,OTP_1
209234 - use this to sign in. Never share this code with anyone.,OTP,Hard_7
Pay Rs.3039 on delivery for order OD571108994. -DTDC T&C apply,Delivery,Hard_10
Ur SonyLIV plan renews on 03 Jul at Rs.51. Upgrade to 4K for Rs.698/month.,Promo,Promo_18
